Cust ID,Trans ID,Timestamp,Merchant Segment, Device ,Funding Instrument,Price,ZipCode,Account_age_months,Sum_12_mnth_credit_txn,Sum_12_mnth_debit_txn,Pcnt_debit_cards_in_wallet,Num_premium_cards,Eng_segment
17289,A17F354C,2021-03-17 12:41:33,Fashion, Mobile ,EasyPay_Pay_Later,117,24132,18,542,25741,92,2,Potential_Leavers
17290,E3C4A3B0,2021-04-24 09:59:12,Pantry, Mobile ,EasyPay_Pay_Later,288,65749,13,1115,18137,96,1,Potential_Leavers
17291,B61FFCD8,2021-06-06 17:06:29,Fashion, Mobile ,EasyPay_Pay_Later,163,29978,6,1676,26719,88,1,Medium
17292,86B2F999,2021-05-07 00:43:51,Website-services, Mobile ,Netbanking,336,20237,5,2869,18268,56,1,High
17293,27FF4544,2021-04-13 17:49:29,Electronics, Web ,Wallet,663,43077,6,7275,9693,67,0,Medium
17294,9603FED8,2021-05-17 23:31:32,Travel, Web ,Debit_Card,3899,55507,20,1614,16270,56,2,Medium
17295,29DEEDFE,2021-06-05 20:59:23,Pantry, Web ,Netbanking,264,30476,1,4998,19341,57,3,Medium
17296,DD2AA216,2021-03-25 11:46:33,Website-services, Web ,EasyPay_Pay_Later,771,40310,10,1627,26999,98,2,Medium
17297,99860BB7,2021-03-27 15:21:20,Travel, POS ,EasyPay_Cobrand_Card,2015,30771,36,4860,1841,15,8,Low
17298,9D2BF751,2021-03-22 16:38:31,Travel, Web ,EasyPay_Credit_Card,1678,58117,51,20052,2453,16,4,Medium
17299,67868B53,2021-03-17 16:12:45,Fashion, Mobile ,EasyPay_Pay_Later,136,60411,18,949,24387,76,1,Potential_Leavers
17300,5EA247C1,2021-04-22 01:37:36,Travel, Web ,Wallet,903,26436,17,1427,11912,66,0,Medium
17301,C3C16ACD,2021-04-17 19:56:02,Travel, Mobile ,EasyPay_Pay_Later,966,41208,19,737,22705,89,1,Medium
17302,72334C68,2021-05-04 03:05:06,Pantry, Web ,Wallet,271,74975,15,5172,10890,63,1,Medium
17303,284F084A,2021-05-19 17:32:47,Website-services, Mobile ,Netbanking,215,71216,14,1594,10971,43,3,Medium
17304,7E449AB7,2021-05-02 05:11:50,Travel, Web ,Debit_Card,1224,25449,12,1893,12174,62,2,Potential_Leavers
17305,DF88212E,2021-04-20 07:24:36,Fashion, Mobile ,EasyPay_Pay_Later,178,60899,4,789,16804,75,1,Potential_Leavers
17306,54DB2B87,2021-06-04 22:47:36,Travel, Mobile ,EasyPay_Credit_Card,4785,49995,51,34330,2703,19,4,High
17307,2A997B95,2021-05-11 02:20:11,Travel, Web ,EasyPay_Cobrand_Card,3417,12851,36,6948,2643,15,7,Potential_Leavers
17308,5D625E62,2021-05-06 10:02:53,Fashion, Mobile ,EasyPay_Pay_Later,76,46347,3,483,23984,75,1,Potential_Leavers
17309,C720322C,2021-03-08 14:26:54,Travel, Web ,EasyPay_Credit_Card,3615,37804,51,40466,2205,14,5,High
17310,F314DE1D,2021-05-05 04:30:33,Pantry, Web ,Netbanking,377,44778,7,4571,10200,63,2,Medium
17311,1686E114,2021-04-16 09:58:49,Pantry, Web ,Wallet,394,10197,16,3663,10090,55,1,Potential_Leavers
17312,64BBED82,2021-04-16 08:08:49,Travel, Web ,EasyPay_Credit_Card,4790,40203,47,33930,3999,15,3,High
17313,93D27347,2021-05-07 06:01:10,Fashion, Mobile ,EasyPay_Pay_Later,120,14224,18,747,12005,79,2,Low
17314,5B51E862,2021-04-01 14:32:36,Website-services, Web ,Wallet,519,61655,5,5343,9836,69,1,Medium
17315,D6EF1BAC,2021-04-14 11:09:11,Pantry, Mobile ,EasyPay_Pay_Later,197,45033,9,1181,27956,80,1,Potential_Leavers
17316,780142F4,2021-05-22 04:33:47,Fashion, Mobile ,EasyPay_Pay_Later,187,50272,10,1060,29424,100,1,Potential_Leavers
17317,DAFBA5F0,2021-03-15 11:19:37,Website-services, Web ,Netbanking,308,30444,6,2134,15822,51,2,Medium
17318,AEBD7D78,2021-03-19 03:51:47,Travel, Web ,Debit_Card,2601,74229,4,1089,22342,74,1,Low
17319,DDE2FB26,2021-03-10 21:31:53,Website-services, Web ,Debit_Card,757,35024,15,1994,11041,64,2,Potential_Leavers
17320,E142CB80,2021-05-02 08:55:07,Electronics, Web ,Wallet,421,16923,13,3374,11345,54,0,High
17321,2431A518,2021-04-12 15:18:55,Website-services, Web ,Wallet,778,22083,9,4208,9320,63,0,High
17322,344FF23F,2021-04-26 23:24:44,Fashion, Web ,EasyPay_Pay_Later,114,43873,3,1249,23915,92,2,Potential_Leavers
17323,9DAE2F14,2021-05-26 02:06:58,Travel, Web ,EasyPay_Credit_Card,4042,67904,39,18025,2444,21,5,Medium
17324,A60BDC3B,2021-05-08 06:20:45,Others, Mobile ,Debit_Card,2545,35417,24,1109,15958,59,2,Medium
17325,3F6C7B78,2021-05-25 20:49:35,Fashion, Mobile ,EasyPay_Pay_Later,220,35614,3,420,27910,76,2,Medium
17326,106D81BE,2021-06-07 12:41:25,Fashion, Web ,EasyPay_Pay_Later,98,56488,7,541,18832,99,1,Potential_Leavers
17327,F149C334,2021-03-04 08:35:14,Fashion, Web ,EasyPay_Pay_Later,167,63245,12,1370,26880,97,2,Medium
17328,AF41E504,2021-04-05 14:44:23,Travel, POS ,EasyPay_Cobrand_Card,3864,23092,27,19067,3204,9,5,Medium
17329,E965411D,2021-05-11 06:34:06,Fashion, Mobile ,EasyPay_Pay_Later,98,55415,16,534,20750,79,2,Potential_Leavers
17330,8499D4DA,2021-05-27 01:11:01,Travel, Mobile ,EasyPay_Credit_Card,3036,14832,33,9889,3363,11,3,Medium
17331,9D20E6E8,2021-04-22 08:00:57,Website-services, Mobile ,Netbanking,225,23568,1,3266,18705,54,2,Medium
17332,77CB21C7,2021-04-17 14:53:30,Fashion, Mobile ,EasyPay_Pay_Later,111,83677,15,845,27589,99,2,Medium
17333,CB6226DC,2021-03-09 02:16:31,Travel, Mobile ,EasyPay_Credit_Card,3366,60438,48,42508,1436,16,6,High
17334,863ED314,2021-04-03 05:46:23,Electronics, Web ,Netbanking,1114,51118,2,4317,19415,48,3,High
17335,252DD1F6,2021-03-05 21:23:05,Others, Mobile ,EasyPay_Credit_Card,3913,75407,43,16212,2082,15,3,Medium
17336,7FC44103,2021-03-03 20:36:24,Fashion, Web ,EasyPay_Pay_Later,58,21827,6,956,27155,83,2,Low
17337,72322A1B,2021-04-03 10:29:37,Travel, POS ,EasyPay_Cobrand_Card,1342,41253,27,3768,1912,24,8,Potential_Leavers
17338,46737633,2021-03-23 20:47:10,Pantry, Web ,Netbanking,313,85503,8,2054,16180,46,2,Medium
17339,49598273,2021-03-03 05:12:32,Website-services, Mobile ,Debit_Card,611,56016,12,1529,16831,85,1,Low
17340,8250B1A6,2021-04-07 05:33:04,Website-services, Mobile ,EasyPay_Pay_Later,179,45624,10,888,22355,78,1,Medium
17341,5222A38A,2021-04-27 16:02:19,Travel, Web ,Wallet,948,20238,15,6823,11212,62,0,High
